,standing,title,year,description,geek_rating,avg_rating,num_voters,url
88,89,Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.591,7.73,56137,https://boardgamegeek.com//boardgame/110327/lords-of-waterdeep
89,90,Through the Ages: A Story of Civilization,2006,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.588,7.84,19464,https://boardgamegeek.com//boardgame/25613/through-the-ages-a-story-of-civilization
90,91,El Grande,1995,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.578,7.76,29528,https://boardgamegeek.com//boardgame/93/el-grande
91,92,Dominant Species,2010,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.577,7.81,21426,https://boardgamegeek.com//boardgame/62219/dominant-species
92,93,Robinson Crusoe: Adventures on the Cursed Island,2012,Work together — with friends or with Friday — to survive on a deserted island.,7.57,7.74,43896,https://boardgamegeek.com//boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island
93,94,7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.57,7.68,105733,https://boardgamegeek.com//boardgame/68448/7-wonders
94,95,The Voyages of Marco Polo,2015,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.57,7.78,25107,https://boardgamegeek.com//boardgame/171623/the-voyages-of-marco-polo
95,96,The Search for Planet X,2020,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",7.566,7.94,12820,https://boardgamegeek.com//boardgame/279537/the-search-for-planet-x
96,97,Concordia Venus,2018,Merchants build and trade throughout the Roman Empire to please the Gods.,7.564,8.29,6126,https://boardgamegeek.com//boardgame/256916/concordia-venus
97,98,Clank!: Catacombs,2022,Deck-building adventure meets tile-laying in the newest incarnation of Clank!,7.555,8.28,6677,https://boardgamegeek.com//boardgame/365717/clank-catacombs
98,99,Tainted Grail: The Fall of Avalon,2019,Will take you on a fantastic adventure set in a dark Arthurian lore and legends.,7.547,8.09,12721,https://boardgamegeek.com//boardgame/264220/tainted-grail-the-fall-of-avalon
99,100,Revive,2022,"Revive civilization, 5000 years after the fall of humankind.",7.544,8.14,7878,https://boardgamegeek.com//boardgame/332772/revive
100,1,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.413,8.59,47571,https://boardgamegeek.com//boardgame/224517/brass-birmingham
101,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.376,8.52,54032,https://boardgamegeek.com//boardgame/161936/pandemic-legacy-season-1
102,3,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.346,8.58,62920,https://boardgamegeek.com//boardgame/174430/gloomhaven
103,4,Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",8.338,8.54,45784,https://boardgamegeek.com//boardgame/342942/ark-nova
104,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.238,8.6,24393,https://boardgamegeek.com//boardgame/233078/twilight-imperium-fourth-edition
105,6,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",8.231,8.43,47434,https://boardgamegeek.com//boardgame/316554/dune-imperium
106,7,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.208,8.35,100941,https://boardgamegeek.com//boardgame/167791/terraforming-mars
107,8,War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,8.189,8.54,21879,https://boardgamegeek.com//boardgame/115746/war-of-the-ring-second-edition
