,standing,title,year,description,geek_rating,avg_rating,num_voters,url
366,67,The Quacks of Quedlinburg,2018,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.681,7.82,51104,https://boardgamegeek.com//boardgame/244521/the-quacks-of-quedlinburg
367,68,Clans of Caledonia,2017,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.679,7.94,20665,https://boardgamegeek.com//boardgame/216132/clans-of-caledonia
368,69,Le Havre,2008,"Establish a supply chain by collecting resources, building industries, and shipping.",7.678,7.85,32000,https://boardgamegeek.com//boardgame/35677/le-havre
369,70,Paladins of the West Kingdom,2019,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,7.677,7.98,18195,https://boardgamegeek.com//boardgame/266810/paladins-of-the-west-kingdom
370,71,The Gallerist,2015,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.676,8.02,14887,https://boardgamegeek.com//boardgame/125153/the-gallerist
371,72,Sky Team,2023,Pilot and co-pilot work together to land planes.,7.673,8.2,10228,https://boardgamegeek.com//boardgame/373106/sky-team
372,73,Star Wars: Imperial Assault,2014,Play as Rebel or Imperial forces to fulfill mission objectives.,7.669,7.96,24805,https://boardgamegeek.com//boardgame/164153/star-wars-imperial-assault
373,74,Android: Netrunner,2012,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.66,7.88,30287,https://boardgamegeek.com//boardgame/124742/android-netrunner
374,75,Mechs vs. Minions,2016,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.657,7.97,17585,https://boardgamegeek.com//boardgame/209010/mechs-vs-minions
375,76,The Crew: The Quest for Planet Nine,2019,Go on many planet-discovering space missions in this cooperative trick-taking game.,7.656,7.8,42619,https://boardgamegeek.com//boardgame/284083/the-crew-the-quest-for-planet-nine
376,77,Kingdom Death: Monster,2015,Try to survive in a nightmarish world that lies under eternal darkness.,7.652,8.5,9767,https://boardgamegeek.com//boardgame/55690/kingdom-death-monster
377,78,Agricola (Revised Edition),2016,"Help your farm to prosper in this updated, streamlined edition of the acclaimed game.",7.641,7.96,18341,https://boardgamegeek.com//boardgame/200680/agricola-revised-edition
378,79,Azul,2017,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.633,7.74,92751,https://boardgamegeek.com//boardgame/230802/azul
379,80,Race for the Galaxy,2007,"Worlds await! Colonize, develop and conquer, taking advantage of others' choices.",7.63,7.74,55992,https://boardgamegeek.com//boardgame/28143/race-for-the-galaxy
380,81,Five Tribes: The Djinns of Naqala,2014,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",7.623,7.77,41942,https://boardgamegeek.com//boardgame/157354/five-tribes-the-djinns-of-naqala
381,82,Eclipse: New Dawn for the Galaxy,2011,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.614,7.83,28495,https://boardgamegeek.com//boardgame/72125/eclipse-new-dawn-for-the-galaxy
382,83,Clank!: A Deck-Building Adventure,2016,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,7.614,7.78,43026,https://boardgamegeek.com//boardgame/201808/clank-a-deck-building-adventure
383,84,Aeon's End,2016,Mages must reach their full potential to defend humanity from terrible monstrosities.,7.61,7.9,21150,https://boardgamegeek.com//boardgame/191189/aeons-end
384,85,Fields of Arle,2014,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.603,8.03,11180,https://boardgamegeek.com//boardgame/159675/fields-of-arle
385,86,Age of Innovation,2023,Terraform the world to expand your faction and create innovations on the way.,7.598,8.66,4578,https://boardgamegeek.com//boardgame/383179/age-of-innovation
386,87,Teotihuacan: City of Gods,2018,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.594,7.86,20210,https://boardgamegeek.com//boardgame/229853/teotihuacan-city-of-gods
387,88,Beyond the Sun,2020,Collectively develop a tech tree to fuel new discoveries and colonize space.,7.593,7.91,15048,https://boardgamegeek.com//boardgame/317985/beyond-the-sun
388,89,Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.591,7.73,56137,https://boardgamegeek.com//boardgame/110327/lords-of-waterdeep
389,90,Through the Ages: A Story of Civilization,2006,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.588,7.84,19464,https://boardgamegeek.com//boardgame/25613/through-the-ages-a-story-of-civilization
390,91,El Grande,1995,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.578,7.76,29528,https://boardgamegeek.com//boardgame/93/el-grande
391,92,Dominant Species,2010,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.577,7.81,21426,https://boardgamegeek.com//boardgame/62219/dominant-species
392,93,Robinson Crusoe: Adventures on the Cursed Island,2012,Work together — with friends or with Friday — to survive on a deserted island.,7.57,7.74,43896,https://boardgamegeek.com//boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island
393,94,7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.57,7.68,105733,https://boardgamegeek.com//boardgame/68448/7-wonders
394,95,The Voyages of Marco Polo,2015,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.57,7.78,25107,https://boardgamegeek.com//boardgame/171623/the-voyages-of-marco-polo
395,96,The Search for Planet X,2020,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",7.566,7.94,12820,https://boardgamegeek.com//boardgame/279537/the-search-for-planet-x
396,97,Concordia Venus,2018,Merchants build and trade throughout the Roman Empire to please the Gods.,7.564,8.29,6126,https://boardgamegeek.com//boardgame/256916/concordia-venus
397,98,Clank!: Catacombs,2022,Deck-building adventure meets tile-laying in the newest incarnation of Clank!,7.555,8.28,6677,https://boardgamegeek.com//boardgame/365717/clank-catacombs
398,99,Tainted Grail: The Fall of Avalon,2019,Will take you on a fantastic adventure set in a dark Arthurian lore and legends.,7.547,8.09,12721,https://boardgamegeek.com//boardgame/264220/tainted-grail-the-fall-of-avalon
399,100,Revive,2022,"Revive civilization, 5000 years after the fall of humankind.",7.544,8.14,7878,https://boardgamegeek.com//boardgame/332772/revive
400,1,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.413,8.59,47571,https://boardgamegeek.com//boardgame/224517/brass-birmingham
401,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.376,8.52,54032,https://boardgamegeek.com//boardgame/161936/pandemic-legacy-season-1
402,3,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.346,8.58,62920,https://boardgamegeek.com//boardgame/174430/gloomhaven
403,4,Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",8.338,8.54,45784,https://boardgamegeek.com//boardgame/342942/ark-nova
404,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.238,8.6,24393,https://boardgamegeek.com//boardgame/233078/twilight-imperium-fourth-edition
405,6,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",8.231,8.43,47434,https://boardgamegeek.com//boardgame/316554/dune-imperium
406,7,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.208,8.35,100941,https://boardgamegeek.com//boardgame/167791/terraforming-mars
407,8,War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,8.189,8.54,21879,https://boardgamegeek.com//boardgame/115746/war-of-the-ring-second-edition
408,9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.17,8.42,33036,https://boardgamegeek.com//boardgame/187645/star-wars-rebellion
409,10,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.154,8.43,35248,https://boardgamegeek.com//boardgame/291457/gloomhaven-jaws-of-the-lion
410,11,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.144,8.34,53127,https://boardgamegeek.com//boardgame/162886/spirit-island
411,12,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.11,8.37,27714,https://boardgamegeek.com//boardgame/220308/gaia-project
412,13,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.066,8.24,49245,https://boardgamegeek.com//boardgame/12333/twilight-struggle
413,14,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.052,8.28,32116,https://boardgamegeek.com//boardgame/182028/through-the-ages-a-new-story-of-civilization
414,15,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.02,8.19,41298,https://boardgamegeek.com//boardgame/193738/great-western-trail
415,16,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.016,8.14,63209,https://boardgamegeek.com//boardgame/84876/the-castles-of-burgundy
416,17,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",7.986,8.14,84834,https://boardgamegeek.com//boardgame/169786/scythe
417,18,Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.979,8.45,14127,https://boardgamegeek.com//boardgame/246900/eclipse-second-dawn-for-the-galaxy
418,19,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.97,8.09,96502,https://boardgamegeek.com//boardgame/173346/7-wonders-duel
419,20,Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,7.963,8.2,25244,https://boardgamegeek.com//boardgame/28720/brass-lancashire
420,21,Nemesis,2018,"Survive an alien-infested spaceship, but beware of other players and their agendas!",7.953,8.27,31456,https://boardgamegeek.com//boardgame/167355/nemesis
421,22,Clank! Legacy: Acquisitions Incorporated,2019,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.948,8.53,9655,https://boardgamegeek.com//boardgame/266507/clank-legacy-acquisitions-incorporated
422,23,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.943,8.17,29153,https://boardgamegeek.com//boardgame/177736/a-feast-for-odin
423,24,Concordia,2013,Merchants build and trade throughout the Roman Empire to please the Gods.,7.942,8.09,41108,https://boardgamegeek.com//boardgame/124361/concordia
424,25,Frosthaven,2022,Adventure in the frozen north and build up your outpost throughout an epic campaign.,7.907,8.82,7369,https://boardgamegeek.com//boardgame/295770/frosthaven
425,26,Great Western Trail: Second Edition,2021,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,7.905,8.33,13416,https://boardgamegeek.com//boardgame/341169/great-western-trail-second-edition
426,27,Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,7.9,8.13,43773,https://boardgamegeek.com//boardgame/205637/arkham-horror-the-card-game
427,28,Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,7.895,8.07,45708,https://boardgamegeek.com//boardgame/312484/lost-ruins-of-arnak
428,29,Terra Mystica,2012,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.892,8.06,48417,https://boardgamegeek.com//boardgame/120677/terra-mystica
429,30,Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife preserve.,7.89,8.04,95774,https://boardgamegeek.com//boardgame/266192/wingspan
430,31,Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.884,8.07,52995,https://boardgamegeek.com//boardgame/237182/root
431,32,Orléans,2014,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",7.872,8.06,31902,https://boardgamegeek.com//boardgame/164928/orleans
432,33,Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.871,8.34,13938,https://boardgamegeek.com//boardgame/192135/too-many-bones
433,34,Mage Knight Board Game,2011,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",7.853,8.09,33554,https://boardgamegeek.com//boardgame/96848/mage-knight-board-game
434,35,Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.851,8.17,18258,https://boardgamegeek.com//boardgame/251247/barrage
435,36,Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,7.843,8.02,56450,https://boardgamegeek.com//boardgame/199792/everdell
436,37,The Crew: Mission Deep Sea,2021,Dive into the deep sea in this co-operative trick-taking game with variable missions.,7.843,8.14,18667,https://boardgamegeek.com//boardgame/324856/the-crew-mission-deep-sea
437,38,Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.836,7.99,49585,https://boardgamegeek.com//boardgame/183394/viticulture-essential-edition
438,39,Dune: Imperium – Uprising,2023,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",7.814,8.74,6379,https://boardgamegeek.com//boardgame/397598/dune-imperium-uprising
439,40,Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.798,8.12,24235,https://boardgamegeek.com//boardgame/285774/marvel-champions-the-card-game
440,41,Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,7.798,8.06,20761,https://boardgamegeek.com//boardgame/175914/food-chain-magnate
441,42,Heat: Pedal to the Metal,2022,Manage your race car's speed to keep from overheating.,7.797,8.05,25422,https://boardgamegeek.com//boardgame/366013/heat-pedal-to-the-metal
442,43,Pax Pamir: Second Edition,2019,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",7.792,8.18,14582,https://boardgamegeek.com//boardgame/256960/pax-pamir-second-edition
443,44,Underwater Cities,2018,"Develop future cities on the seafloor through politics, production, and science.",7.784,8.06,20075,https://boardgamegeek.com//boardgame/247763/underwater-cities
444,45,Kanban EV,2020,EV-factory workers optimize and innovate to stand out at the big board meeting.,7.773,8.42,7981,https://boardgamegeek.com//boardgame/284378/kanban-ev
445,46,Puerto Rico,2002,"Ship goods, construct buildings, and choose roles that benefit you more than others.",7.773,7.91,71438,https://boardgamegeek.com//boardgame/3076/puerto-rico
446,47,Crokinole,1876,Flick discs and make trick shots in this traditional Canadian dexterity game!,7.77,8.04,18414,https://boardgamegeek.com//boardgame/521/crokinole
447,48,Cascadia,2021,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,7.766,7.94,40950,https://boardgamegeek.com//boardgame/295947/cascadia
448,49,Caverna: The Cave Farmers,2013,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.759,7.94,35165,https://boardgamegeek.com//boardgame/102794/caverna-the-cave-farmers
449,50,Anachrony,2017,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,7.754,8.07,19046,https://boardgamegeek.com//boardgame/185343/anachrony
450,51,Pandemic Legacy: Season 0,2020,Work together during the Cold War to prevent a Soviet bio-threat.,7.752,8.39,7897,https://boardgamegeek.com//boardgame/314040/pandemic-legacy-season-0
451,52,On Mars,2020,"Be a part of the first Martian colony, striving to be the best contributor.",7.751,8.19,12958,https://boardgamegeek.com//boardgame/184267/on-mars
452,53,Blood Rage,2015,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,7.751,7.92,47779,https://boardgamegeek.com//boardgame/170216/blood-rage
453,54,Agricola,2007,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,7.745,7.87,73317,https://boardgamegeek.com//boardgame/31260/agricola
454,55,Sleeping Gods,2021,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",7.736,8.19,12624,https://boardgamegeek.com//boardgame/255984/sleeping-gods
455,56,Lisboa,2017,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,7.72,8.19,11349,https://boardgamegeek.com//boardgame/161533/lisboa
456,57,Pandemic Legacy: Season 2,2017,The world is a mystery after a devastating pandemic—where will your team go?,7.72,8.03,17080,https://boardgamegeek.com//boardgame/221107/pandemic-legacy-season-2
457,58,Cthulhu: Death May Die,2019,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.,7.72,8.18,13031,https://boardgamegeek.com//boardgame/253344/cthulhu-death-may-die
458,59,Mansions of Madness: Second Edition,2016,Unravel mysteries in Arkham with your investigative team in this app-guided game.,7.71,7.94,36888,https://boardgamegeek.com//boardgame/205059/mansions-of-madness-second-edition
459,60,Obsession,2018,"Renovate an estate, manage servants, and pursue romance in Victorian England.",7.706,8.14,13167,https://boardgamegeek.com//boardgame/231733/obsession
460,61,Hegemony: Lead Your Class to Victory,2023,"Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game.",7.7,8.46,7235,https://boardgamegeek.com//boardgame/321608/hegemony-lead-your-class-to-victory
461,62,Tzolk'in: The Mayan Calendar,2012,"Lead your people, build monuments and make offerings to earn the favour of the gods.",7.7,7.86,39754,https://boardgamegeek.com//boardgame/126163/tzolkin-the-mayan-calendar
462,63,Oathsworn: Into the Deepwood,2022,Fight for humanity's survival against unnatural horrors and the Deepwood itself.,7.698,8.96,5074,https://boardgamegeek.com//boardgame/251661/oathsworn-into-the-deepwood
463,64,Power Grid,2004,"Bid, network, and manage resources in a race to supply the most cities with power.",7.697,7.81,65984,https://boardgamegeek.com//boardgame/2651/power-grid
464,65,Grand Austria Hotel,2015,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,7.696,7.95,21476,https://boardgamegeek.com//boardgame/182874/grand-austria-hotel
465,66,Maracaibo,2019,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,7.694,8.01,16676,https://boardgamegeek.com//boardgame/276025/maracaibo
466,67,The Quacks of Quedlinburg,2018,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.681,7.82,51104,https://boardgamegeek.com//boardgame/244521/the-quacks-of-quedlinburg
467,68,Clans of Caledonia,2017,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.679,7.94,20665,https://boardgamegeek.com//boardgame/216132/clans-of-caledonia
468,69,Le Havre,2008,"Establish a supply chain by collecting resources, building industries, and shipping.",7.678,7.85,32000,https://boardgamegeek.com//boardgame/35677/le-havre
469,70,Paladins of the West Kingdom,2019,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,7.677,7.98,18195,https://boardgamegeek.com//boardgame/266810/paladins-of-the-west-kingdom
470,71,The Gallerist,2015,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.676,8.02,14887,https://boardgamegeek.com//boardgame/125153/the-gallerist
471,72,Sky Team,2023,Pilot and co-pilot work together to land planes.,7.673,8.2,10228,https://boardgamegeek.com//boardgame/373106/sky-team
472,73,Star Wars: Imperial Assault,2014,Play as Rebel or Imperial forces to fulfill mission objectives.,7.669,7.96,24805,https://boardgamegeek.com//boardgame/164153/star-wars-imperial-assault
473,74,Android: Netrunner,2012,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.66,7.88,30287,https://boardgamegeek.com//boardgame/124742/android-netrunner
474,75,Mechs vs. Minions,2016,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.657,7.97,17585,https://boardgamegeek.com//boardgame/209010/mechs-vs-minions
475,76,The Crew: The Quest for Planet Nine,2019,Go on many planet-discovering space missions in this cooperative trick-taking game.,7.656,7.8,42619,https://boardgamegeek.com//boardgame/284083/the-crew-the-quest-for-planet-nine
476,77,Kingdom Death: Monster,2015,Try to survive in a nightmarish world that lies under eternal darkness.,7.652,8.5,9767,https://boardgamegeek.com//boardgame/55690/kingdom-death-monster
477,78,Agricola (Revised Edition),2016,"Help your farm to prosper in this updated, streamlined edition of the acclaimed game.",7.641,7.96,18341,https://boardgamegeek.com//boardgame/200680/agricola-revised-edition
478,79,Azul,2017,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.633,7.74,92751,https://boardgamegeek.com//boardgame/230802/azul
479,80,Race for the Galaxy,2007,"Worlds await! Colonize, develop and conquer, taking advantage of others' choices.",7.63,7.74,55992,https://boardgamegeek.com//boardgame/28143/race-for-the-galaxy
480,81,Five Tribes: The Djinns of Naqala,2014,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",7.623,7.77,41942,https://boardgamegeek.com//boardgame/157354/five-tribes-the-djinns-of-naqala
481,82,Eclipse: New Dawn for the Galaxy,2011,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.614,7.83,28495,https://boardgamegeek.com//boardgame/72125/eclipse-new-dawn-for-the-galaxy
482,83,Clank!: A Deck-Building Adventure,2016,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,7.614,7.78,43026,https://boardgamegeek.com//boardgame/201808/clank-a-deck-building-adventure
483,84,Aeon's End,2016,Mages must reach their full potential to defend humanity from terrible monstrosities.,7.61,7.9,21150,https://boardgamegeek.com//boardgame/191189/aeons-end
484,85,Fields of Arle,2014,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.603,8.03,11180,https://boardgamegeek.com//boardgame/159675/fields-of-arle
485,86,Age of Innovation,2023,Terraform the world to expand your faction and create innovations on the way.,7.598,8.66,4578,https://boardgamegeek.com//boardgame/383179/age-of-innovation
486,87,Teotihuacan: City of Gods,2018,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.594,7.86,20210,https://boardgamegeek.com//boardgame/229853/teotihuacan-city-of-gods
487,88,Beyond the Sun,2020,Collectively develop a tech tree to fuel new discoveries and colonize space.,7.593,7.91,15048,https://boardgamegeek.com//boardgame/317985/beyond-the-sun
488,89,Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.591,7.73,56137,https://boardgamegeek.com//boardgame/110327/lords-of-waterdeep
489,90,Through the Ages: A Story of Civilization,2006,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.588,7.84,19464,https://boardgamegeek.com//boardgame/25613/through-the-ages-a-story-of-civilization
490,91,El Grande,1995,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.578,7.76,29528,https://boardgamegeek.com//boardgame/93/el-grande
491,92,Dominant Species,2010,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.577,7.81,21426,https://boardgamegeek.com//boardgame/62219/dominant-species
492,93,Robinson Crusoe: Adventures on the Cursed Island,2012,Work together — with friends or with Friday — to survive on a deserted island.,7.57,7.74,43896,https://boardgamegeek.com//boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island
493,94,7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.57,7.68,105733,https://boardgamegeek.com//boardgame/68448/7-wonders
494,95,The Voyages of Marco Polo,2015,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.57,7.78,25107,https://boardgamegeek.com//boardgame/171623/the-voyages-of-marco-polo
495,96,The Search for Planet X,2020,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",7.566,7.94,12820,https://boardgamegeek.com//boardgame/279537/the-search-for-planet-x
496,97,Concordia Venus,2018,Merchants build and trade throughout the Roman Empire to please the Gods.,7.564,8.29,6126,https://boardgamegeek.com//boardgame/256916/concordia-venus
497,98,Clank!: Catacombs,2022,Deck-building adventure meets tile-laying in the newest incarnation of Clank!,7.555,8.28,6677,https://boardgamegeek.com//boardgame/365717/clank-catacombs
498,99,Tainted Grail: The Fall of Avalon,2019,Will take you on a fantastic adventure set in a dark Arthurian lore and legends.,7.547,8.09,12721,https://boardgamegeek.com//boardgame/264220/tainted-grail-the-fall-of-avalon
499,100,Revive,2022,"Revive civilization, 5000 years after the fall of humankind.",7.544,8.14,7878,https://boardgamegeek.com//boardgame/332772/revive
500,1,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.413,8.59,47571,https://boardgamegeek.com//boardgame/224517/brass-birmingham
501,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.376,8.52,54032,https://boardgamegeek.com//boardgame/161936/pandemic-legacy-season-1
502,3,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.346,8.58,62920,https://boardgamegeek.com//boardgame/174430/gloomhaven
503,4,Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",8.338,8.54,45784,https://boardgamegeek.com//boardgame/342942/ark-nova
504,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.238,8.6,24393,https://boardgamegeek.com//boardgame/233078/twilight-imperium-fourth-edition
505,6,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",8.231,8.43,47434,https://boardgamegeek.com//boardgame/316554/dune-imperium
506,7,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.208,8.35,100941,https://boardgamegeek.com//boardgame/167791/terraforming-mars
507,8,War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,8.189,8.54,21879,https://boardgamegeek.com//boardgame/115746/war-of-the-ring-second-edition
508,9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.17,8.42,33036,https://boardgamegeek.com//boardgame/187645/star-wars-rebellion
509,10,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.154,8.43,35248,https://boardgamegeek.com//boardgame/291457/gloomhaven-jaws-of-the-lion
510,11,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.144,8.34,53127,https://boardgamegeek.com//boardgame/162886/spirit-island
511,12,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.11,8.37,27714,https://boardgamegeek.com//boardgame/220308/gaia-project
512,13,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.066,8.24,49245,https://boardgamegeek.com//boardgame/12333/twilight-struggle
513,14,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.052,8.28,32116,https://boardgamegeek.com//boardgame/182028/through-the-ages-a-new-story-of-civilization
514,15,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.02,8.19,41298,https://boardgamegeek.com//boardgame/193738/great-western-trail
515,16,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.016,8.14,63209,https://boardgamegeek.com//boardgame/84876/the-castles-of-burgundy
516,17,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",7.986,8.14,84834,https://boardgamegeek.com//boardgame/169786/scythe
517,18,Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.979,8.45,14127,https://boardgamegeek.com//boardgame/246900/eclipse-second-dawn-for-the-galaxy
518,19,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.97,8.09,96502,https://boardgamegeek.com//boardgame/173346/7-wonders-duel
519,20,Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,7.963,8.2,25244,https://boardgamegeek.com//boardgame/28720/brass-lancashire
520,21,Nemesis,2018,"Survive an alien-infested spaceship, but beware of other players and their agendas!",7.953,8.27,31456,https://boardgamegeek.com//boardgame/167355/nemesis
521,22,Clank! Legacy: Acquisitions Incorporated,2019,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.948,8.53,9655,https://boardgamegeek.com//boardgame/266507/clank-legacy-acquisitions-incorporated
522,23,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.943,8.17,29153,https://boardgamegeek.com//boardgame/177736/a-feast-for-odin
523,24,Concordia,2013,Merchants build and trade throughout the Roman Empire to please the Gods.,7.942,8.09,41108,https://boardgamegeek.com//boardgame/124361/concordia
524,25,Frosthaven,2022,Adventure in the frozen north and build up your outpost throughout an epic campaign.,7.907,8.82,7369,https://boardgamegeek.com//boardgame/295770/frosthaven
